chuva,deviceid,distancia,timestamp,varaltura,volume,alagamento
0,1,51,2023-04-27 21:34:42.277,1,1.5,0
0,1,49,2023-04-27 21:34:44.278,3,1.5,0
0,1,52,2023-04-27 21:34:47.285,0,1.5,0
0,1,50,2023-04-27 21:34:50.284,2,1.5,0
0,1,51,2023-04-27 21:34:53.292,1,1.5,0
0,1,51,2023-04-27 21:34:55.3,1,1.5,0
0,1,49,2023-04-27 21:34:58.294,3,1.5,0
0,1,50,2023-04-27 21:35:01.307,2,1.5,0
0,1,51,2023-04-27 21:35:03.308,1,1.5,0
0,1,50,2023-04-27 21:35:06.308,2,1.5,0
0,1,50,2023-04-27 21:35:09.312,2,1.5,0
0,1,49,2023-04-27 21:35:12.316,3,1.5,0
0,1,50,2023-04-27 21:35:14.326,2,1.5,0
0,1,49,2023-04-27 21:35:17.327,3,1.5,0
0,1,51,2023-04-27 21:35:20.325,1,1.5,0
0,1,50,2023-04-27 21:35:22.325,2,1.5,0
0,1,50,2023-04-27 21:35:25.34,2,1.5,0
0,1,51,2023-04-27 21:35:28.348,1,1.5,0
0,1,50,2023-04-27 21:35:31.352,2,1.5,0
0,1,50,2023-04-27 21:35:33.355,2,1.5,0
0,1,51,2023-04-27 21:35:36.353,1,1.5,0
0,1,49,2023-04-27 21:35:39.355,3,1.5,0
0,1,50,2023-04-27 21:35:42.362,2,1.5,0
0,1,50,2023-04-27 21:35:44.355,2,1.5,0
0,1,50,2023-04-27 21:35:47.373,2,1.5,0
0,1,50,2023-04-27 21:35:50.367,2,1.5,0
0,1,50,2023-04-27 21:35:52.367,2,1.5,0
0,1,50,2023-04-27 21:35:55.382,2,1.5,0
0,1,51,2023-04-27 21:35:58.382,1,1.5,0
0,1,51,2023-04-27 21:36:01.388,1,1.5,0
0,1,50,2023-04-27 21:36:03.389,2,1.5,0
0,1,51,2023-04-27 21:36:06.398,1,1.5,0
0,1,50,2023-04-27 21:36:09.399,2,1.5,0
0,1,52,2023-04-27 21:36:11.404,0,1.5,0
0,1,50,2023-04-27 21:36:14.401,2,1.5,0
0,1,51,2023-04-27 21:36:17.408,1,1.5,0
0,1,51,2023-04-27 21:36:20.41,1,1.5,0
0,1,49,2023-04-27 21:36:22.422,3,1.5,0
0,1,52,2023-04-27 21:36:25.426,0,1.5,0
0,1,49,2023-04-27 21:36:28.425,3,1.5,0
0,1,51,2023-04-27 21:36:31.431,1,1.5,0
0,1,50,2023-04-27 21:36:33.425,2,1.5,0
0,1,49,2023-04-27 21:36:36.434,3,1.5,0
0,1,50,2023-04-27 21:36:39.433,2,1.5,0
0,1,50,2023-04-27 21:36:41.44,2,1.5,0
0,1,51,2023-04-27 21:36:44.452,1,1.5,0
0,1,50,2023-04-27 21:36:47.452,2,1.5,0
0,1,50,2023-04-27 21:36:50.461,2,1.5,0
0,1,51,2023-04-27 21:36:52.462,1,1.5,0
0,1,50,2023-04-27 21:36:55.462,2,1.5,0
0,1,51,2023-04-27 21:36:58.462,1,1.5,0
0,1,50,2023-04-27 21:37:00.474,2,1.5,0
0,1,50,2023-04-27 21:37:03.474,2,1.5,0
0,1,51,2023-04-27 21:37:06.474,1,1.5,0
0,1,51,2023-04-27 21:37:09.474,1,1.5,0
0,1,49,2023-04-27 21:37:11.49,3,1.5,0
